person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Severina Tabacu,severinatabacu,severinatabacu@gmail.com,8280930452633,1911-02-13,"Drumul Georgescu, Voluntari, 578646",0722 317 538,9e:fc:bb:18:0d:e4,68.47.20.92,RO37KFQI1999406969738909,2025-04-02 00:53:47,14725,482,730,363483,ff08b9c8-2311-454f-b54e-0bb610074f72
Mihnea Dochioiu,mihneadochioiu,mihneadochioiu@gmail.com,3790917325316,1973-10-01,"Bulevardul Georgescu, Tandarei, 661519",0752 231 646,32:0b:9b:3c:6c:b9,146.214.251.105,RO38CKRU6358538019044465,2025-04-02 00:53:47,29791,366,187,1747925,63dedbaf-dfdb-4318-b54f-e9eae943c898
Doriana Dima,dorianadima,dorianadima@email.ro,2740625083108,1994-07-18,"Strada Tomescu, Busteni, 574393",0730 516 033,18:58:5f:1f:01:2c,32.244.112.60,RO19XUSD8869593508628872,2025-04-02 00:53:47,24898,122,468,1106899,47e2ff8d-422e-4db1-bd1a-7da1543c8a63
Bernard Stancu,bernardstancu,bernardstancu@email.ro,1971113513991,1969-03-17,"Strada Pompilia Diaconu Nr. 92, Carei, 159127",0739 388 128,06:3d:d0:a1:0a:c2,160.173.145.239,RO56YEUZ3542809016070844,2025-04-02 00:53:47,17825,104,525,1245028,d4eaf82f-c942-460c-8abd-95599c42a917
Dumitra Nemeș,dumitranemeș,dumitranemeș@zzup.ro,2561128201943,1954-05-26,"Aleea Mazilescu Nr. 82 Bl. 44  Sc. 46 Ap. 674, Rucar, 680364",0751 618 103,82:fd:e4:34:3b:25,2.8.87.140,RO96HILK6704006632316923,2025-04-02 00:53:47,25518,727,370,1750006,59ca4965-ff82-4151-a186-41d35be50d1c
Leopoldina Manole,leopoldinamanole,leopoldinamanole@141.ro,6520718406191,1973-11-04,"Intrarea Tabacu Nr. 16 Bl. 99  Sc. 34 Ap. 715, Aiud, 668363",0754 218 281,ec:03:43:c3:38:0b,129.90.192.153,RO63BHRU2588563946020349,2025-04-02 00:53:47,16185,411,262,402026,21237c1d-a8c8-4ef0-924e-20fb6f7c602a
Coralia Preda,coraliapreda,coraliapreda@zzup.ro,4330130514703,1915-06-12,"Soseaua Nistor, Homocea, 674528",0786 632 329,9e:a9:22:ed:5a:c7,103.225.83.20,RO85DCQH4857896928132393,2025-04-02 00:53:47,31225,952,716,266872,bf0e1e56-0560-4b6a-9aed-90caa126696f
Florina Stoica,florinastoica,florinastoica@email.ro,7701129174836,1946-12-08,"Strada Nistor Nr. 70 Bl. 96  Sc. 79 Ap. 323, Brasov, 413517",0262 675 763,7e:e3:a2:31:83:b6,102.70.62.162,RO17DUDH3875616997377912,2025-04-02 00:53:47,16376,685,228,1971770,a906e19b-c21b-46d4-9d31-4039a8ee9d02
Mădălin Diaconescu,mădălindiaconescu,mădălindiaconescu@post.ro,1110405088091,2013-05-09,"Soseaua Tabacu Nr. 950, Balotesti, 829435",0755 340 461,dc:df:cb:20:98:23,49.250.66.141,RO02HXCO2279781451864926,2025-04-02 00:53:47,34134,859,505,39343,0896d840-6842-47d2-bd8e-e1c0bdb7bd5e
Cristea Dinu,cristeadinu,cristeadinu@post.ro,4480810393606,1923-09-03,"Bulevardul Stancu, Cornetu, 598734",0722 537 078,3c:4f:a6:42:2d:ba,192.164.210.148,RO95UUTM3801964909491104,2025-04-02 00:53:47,12271,206,52,580137,1ef468d7-14f6-4085-9f34-ea68cf760b9b
Ghenadie Stan,ghenadiestan,ghenadiestan@email.ro,8720120205295,1930-04-13,"Soseaua Ardelean Nr. 757 Bl. 75  Sc. 19 Ap. 497, Vicovu de Sus, 209257",0757 775 300,0e:e1:2c:9b:4b:b4,21.246.79.30,RO28SLQT1310754181937621,2025-04-02 00:53:47,11108,220,437,1491395,ad5f1381-418d-4fc7-b05c-6ca94614e393
Dumitra Dumitrescu,dumitradumitrescu,dumitradumitrescu@email.ro,3420604225847,1968-12-29,"Intrarea Dobre Nr. 74 Bl. 80  Sc. 98 Ap. 342, Lunca Cetatuii, 155608",0239 650 080,da:ac:36:37:21:52,216.231.45.63,RO05THBS2306872366065607,2025-04-02 00:53:47,29925,487,343,526425,23dbb332-3709-46bd-8dc0-0570b88a377a
Anemona Dumitrescu,anemonadumitrescu,anemonadumitrescu@email.ro,1650402196483,1971-08-14,"Drumul Dima Nr. 64 Bl. 78  Sc. 89 Ap. 601, Podu Iloaiei, 483577",0249 797 439,dc:26:16:62:29:45,52.0.175.246,RO19CHDQ0465204424738030,2025-04-02 00:53:47,21966,19,354,582096,982c0e43-9170-43bd-860c-6c205a3d74db
Dumitra Albu,dumitraalbu,dumitraalbu@post.ro,8230503391253,1982-09-21,"Bulevardul Dima Nr. 35, Zalau, 182222",0268 253 385,18:ce:03:55:8c:dd,44.164.168.53,RO04JZEH3045097953057248,2025-04-02 00:53:47,29036,689,532,471711,dce31bf6-4248-4e93-ba4a-ff0765f468a4
Marcheta Dima,marchetadima,marchetadima@141.ro,4961031433747,2014-05-16,"Strada Ababei Nr. 10 Bl. 71  Sc. 63 Ap. 156, Gheorgheni, 328426",0750 621 870,12:dd:ed:48:fb:7d,164.220.73.37,RO64PKXJ9012322113014381,2025-04-02 00:53:47,26789,683,777,646516,7e233c7d-39b9-4d41-96c8-ca98aba39696
Maximilian Dochioiu,maximiliandochioiu,maximiliandochioiu@141.ro,3341226240441,1925-06-08,"Strada Suciu, Lugoj, 703536",0768 170 102,6c:a7:a8:b3:03:c2,112.210.92.39,RO59CMEM8735107950752692,2025-04-02 00:53:47,9479,565,674,185214,990668f5-eedd-4fa2-b2cc-a3483a3c1cf9
Anișoara Pop,anișoarapop,anișoarapop@zzup.ro,4890123096011,1916-12-04,"Strada Tomescu Nr. 332, Beclean, 570209",0236 910 548,a0:94:85:6d:1a:6c,92.121.38.98,RO54RQJE6410059804535266,2025-04-02 00:53:47,19643,616,549,290048,48d29dce-07c0-4cd7-856e-cd92fa7c30cb
Alida Cristea,alidacristea,alidacristea@acasa.ro,4360501077491,1981-02-08,"Soseaua Ancuța Florea Nr. 92 Bl. 39  Sc. 31 Ap. 821, Arbore, 578659",0264 352 999,d4:cf:5b:1a:b9:52,217.22.219.217,RO98IRCG5607839976758869,2025-04-02 00:53:47,16551,535,414,425648,44c01342-27c5-4de3-adee-416bd84e239d
Julieta Stancu,julietastancu,julietastancu@email.ro,2250507331661,2010-11-14,"Drumul Oliviu Barbu, Sovata, 645614",0735 948 051,12:11:f2:f5:74:97,73.173.121.157,RO98RJRJ7706419961052559,2025-04-02 00:53:47,2450,668,50,352830,d918a282-b118-4252-931b-7548424fabbe
Lorin Pop,lorinpop,lorinpop@kappa.ro,5660414142988,1982-05-13,"Aleea Amanda Tomescu Nr. 485, Targu Lapus, 666754",0771 994 867,28:91:97:7f:91:5d,174.197.249.54,RO94DFVX7039861322731025,2025-04-02 00:53:47,18661,923,59,755197,cf6369e4-def5-4c32-9e50-900116c93d39
Filip Ardelean,filipardelean,filipardelean@acasa.ro,2961219362861,2002-11-23,"Drumul Ardelean Nr. 14 Bl. 18  Sc. 62 Ap. 657, Marghita, 233317",0745 981 971,10:f4:74:0a:74:15,132.91.69.223,RO27UCQY3325762049931658,2025-04-02 00:53:47,8380,1000,245,1976902,b7110f8f-ee5c-4e0d-8a23-b9cef6d79ef5
Simion Georgescu,simiongeorgescu,simiongeorgescu@141.ro,1100317468342,1966-03-16,"Bulevardul Mariana Manole, Plosca, 533374",0258 700 828,ba:06:bb:90:02:73,215.164.166.200,RO36HFPX3546420943044117,2025-04-02 00:53:47,34158,471,313,36124,c1389252-0a9c-4ea9-b808-2332539c5b02
Gelu Marin,gelumarin,gelumarin@zzup.ro,4870122298339,2025-01-19,"Bulevardul Ardelean, Iasi, 937424",0720 051 399,06:db:a7:f4:d9:3d,14.83.252.36,RO59AZJH2381589172822940,2025-04-02 00:53:47,34964,876,530,1890111,fc04a4e1-e09c-40f0-ade1-e7acd7e250b5
Valentina Popescu,valentinapopescu,valentinapopescu@post.ro,1890603311931,1993-01-02,"Intrarea Stancu Nr. 995 Bl. 11  Sc. 42 Ap. 692, Curcani, 964852",0251 473 437,30:99:1f:b7:dd:92,20.216.100.111,RO61YQUA6966728954649388,2025-04-02 00:53:47,23925,541,677,51466,ef150196-f1ef-4607-bcdf-e292f4392e89
Draga Tomescu,dragatomescu,dragatomescu@post.ro,2090731420451,1944-12-26,"Bulevardul Luminița Diaconescu Nr. 58, Targu Ocna, 624722",0265 223 867,30:a7:2f:64:e1:d4,146.79.214.49,RO47EUNT1270775711536991,2025-04-02 00:53:47,11473,485,54,182708,e70a97c3-0373-4839-9cd1-562d7e534ca3
Clarisa Toma,clarisatoma,clarisatoma@email.ro,6741108383803,1929-06-26,"Intrarea Mazilescu Nr. 615 Bl. 20  Sc. 46 Ap. 425, Floresti, 817684",0711 816 057,c4:1d:e7:9c:21:54,184.107.236.121,RO49KFLY4120626664641775,2025-04-02 00:53:47,5631,610,76,614401,1bbdecf4-5177-42fb-825b-961bd59cd9d6
Alma Dinu,almadinu,almadinu@email.ro,4540206084968,1910-07-28,"Soseaua Dumitrescu, Talmaciu, 486948",0269 683 401,9c:ea:fd:66:49:d6,208.225.39.207,RO32EURS9319910406313635,2025-04-02 00:53:47,17465,40,483,257247,69765b44-1910-4493-b35f-ce96c7624511
Marioara Mazilescu,marioaramazilescu,marioaramazilescu@zzup.ro,3260804160903,1959-03-18,"Aleea Nemeș, Zalau, 824377",0743 677 140,7a:f9:64:06:7d:8f,111.179.33.80,RO43RVEM3028661414630578,2025-04-02 00:53:47,965,875,638,966385,bf07f815-7a32-4fbd-952e-9275cf70c8ca
Dorian Niță,dorianniță,dorianniță@acasa.ro,2690513015266,1918-05-18,"Bulevardul Filip Diaconescu Nr. 317, Zimnicea, 982215",0732 135 302,d2:75:1e:41:98:7a,103.221.119.21,RO79FKHT4722261024753674,2025-04-02 00:53:47,28962,674,665,481024,c5fb565d-9d89-4302-94f3-1c7feba8bd27
Marius Dinu,mariusdinu,mariusdinu@post.ro,2981121216151,1986-09-30,"Bulevardul Alis Marin Nr. 882 Bl. 28  Sc. 80 Ap. 327, Sangeorgiu de Mures, 108583",0244 350 284,48:56:13:2c:5f:5c,171.86.19.87,RO56VUSW7415542443371624,2025-04-02 00:53:47,3297,713,268,568407,5c68ab9e-c94b-403c-8f72-57aa0a4a37ea
Nicolae Ioniță,nicolaeioniță,nicolaeioniță@post.ro,3781028022358,1955-03-26,"Strada Evanghelina Popescu Nr. 546 Bl. 48  Sc. 64 Ap. 431, Salonta, 110779",0726 227 420,34:fc:0b:f4:95:16,188.154.9.22,RO85MGDW1741621782351053,2025-04-02 00:53:47,35473,98,329,481705,78269c78-d432-4408-bd09-25d7cd9855ab
Dacian Dochioiu,daciandochioiu,daciandochioiu@email.ro,5300620395050,1965-03-07,"Strada Toma Nr. 506 Bl. 90  Sc. 41 Ap. 572, Cobadin, 409795",0730 079 391,de:5f:8f:84:ed:db,132.211.40.142,RO49ISNQ2001788350589288,2025-04-02 00:53:47,30506,973,526,1860506,238f970c-9897-4f5a-b4ca-de08d6422d72
Petrică Florea,petricăflorea,petricăflorea@141.ro,2790906210593,1951-03-18,"Strada Traian Nistor Nr. 50, Dej, 698270",0721 348 541,52:39:90:84:2e:bf,159.169.121.237,RO69CKLW5156095534054649,2025-04-02 00:53:47,832,938,537,594286,7c68e442-5824-443d-b948-856b28ee3261
Ștefania Tomescu,ștefaniatomescu,ștefaniatomescu@141.ro,1301025261263,1988-04-13,"Bulevardul Nemeș Nr. 950 Bl. 28  Sc. 11 Ap. 575, Zarnesti, 738060",0250 403 645,b4:40:f9:90:5b:ed,213.86.132.88,RO86TLWB0142443678140932,2025-04-02 00:53:47,5545,673,416,1270833,868c5916-f3e7-43e9-9f92-11148767122a
Silvian Ene,silvianene,silvianene@zzup.ro,3650128090496,1912-04-13,"Drumul Dobre Nr. 86, Dumbravita, 736521",0240 793 569,0e:21:ee:82:66:2f,38.46.240.162,RO05CUHL1659197472261466,2025-04-02 00:53:47,34307,537,36,1098665,873abe89-6a52-4fdc-8232-2e30a6b15c76
Violeta Ene,violetaene,violetaene@zzup.ro,8061202259296,1918-08-19,"Bulevardul Tomescu, Breaza de Sus, 727244",0264 748 961,24:c5:e1:72:84:d0,129.177.81.133,RO97VGZV3867114933628057,2025-04-02 00:53:47,35871,742,160,26216,cec84a5b-3b4e-4aa6-b9a7-137ad4a4502e
Corneliu Nistor,corneliunistor,corneliunistor@kappa.ro,7811102198082,1957-02-08,"Intrarea Tudor Nr. 17, Podu Iloaiei, 170803",0245 669 993,f6:64:71:fa:fd:79,16.248.43.91,RO06EUSP1800735489139698,2025-04-02 00:53:47,15201,130,529,117345,fe9ece4b-b126-4f7e-aec0-6b96398f8b73
Mitică Mocanu,miticămocanu,miticămocanu@141.ro,1020822290527,1962-12-16,"Soseaua Ioniță Nr. 417 Bl. 38  Sc. 34 Ap. 751, Raducaneni, 665406",0231 996 685,5e:46:18:fa:a8:de,40.90.112.152,RO36EWWH1050655548583142,2025-04-02 00:53:47,25790,661,342,1329886,5b391a51-dc39-4838-9df8-507e1baf51ed
Florentina Florea,florentinaflorea,florentinaflorea@gmail.com,8461119330413,2017-12-14,"Bulevardul Nistor, Intorsura Buzaului, 568734",0741 244 076,10:b9:3d:08:7e:d7,107.103.68.41,RO18PVAB1880500417899385,2025-04-02 00:53:47,31448,963,601,1974123,c676e9bb-5046-410d-96f0-3999cb955a7d
David Barbu,davidbarbu,davidbarbu@141.ro,4360720166052,2007-04-17,"Drumul Sorina Dinu, Siria, 293951",0731 756 008,8e:63:aa:05:99:12,209.241.168.17,RO48JIKW9057292153044628,2025-04-02 00:53:47,16755,881,272,1303496,abf8b8a0-01b6-41c4-b3e7-98d56ad3f4aa
Sabina Gheorghiu,sabinagheorghiu,sabinagheorghiu@acasa.ro,3290813434213,1928-12-11,"Drumul Preda Nr. 758, Insuratei, 645995",0269 829 427,f8:b1:06:ec:e6:d3,137.92.89.76,RO48LVVU9229040646484846,2025-04-02 00:53:47,33770,393,474,1699488,b7dec6f6-fbf1-4854-9cb4-7b54b5569d58
Teohari Nistor,teoharinistor,teoharinistor@acasa.ro,5990724363705,1931-04-08,"Strada Stănescu Nr. 99, 1 Decembrie, 771466",0254 253 252,3c:8d:83:22:4a:a8,108.143.132.186,RO68YUBV1559641882967679,2025-04-02 00:53:47,14260,278,472,1352268,b30fd1b6-4048-44d7-9d05-93471eedc16a
Gică Eftimie,gicăeftimie,gicăeftimie@acasa.ro,3870229042157,2001-05-23,"Soseaua Gheorghiu Nr. 10, Barlad, 607402",0233 887 189,d2:b9:49:ea:da:6a,5.26.130.89,RO19UAZL2841506620320201,2025-04-02 00:53:47,6205,626,412,1453784,314e3ac8-ea16-4451-8324-ab90c89fd73f
Izabela Aanei,izabelaaanei,izabelaaanei@zzup.ro,2640329172633,1931-09-05,"Aleea Marin Nr. 575 Bl. 71  Sc. 59 Ap. 541, Chisineu-Cris, 392341",0238 874 912,b8:58:b8:a4:9e:64,109.122.152.93,RO77GRYX4273394417496636,2025-04-02 00:53:47,3108,560,106,73155,1bc26b6e-2cfe-4300-be5f-6c506603f9d7
Nadia Stănescu,nadiastănescu,nadiastănescu@post.ro,2410105222555,1997-06-28,"Strada Popescu Nr. 12 Bl. 73  Sc. 76 Ap. 438, Pecica, 237791",0768 664 113,9e:65:c5:b4:c0:3d,28.204.60.170,RO73DTZO7564792899404271,2025-04-02 00:53:47,535,604,539,1982092,7db5c8eb-3560-47e3-bbfb-5006409b995f
Rafael Stănescu,rafaelstănescu,rafaelstănescu@kappa.ro,6790507243561,1936-03-07,"Intrarea Lavinia Stancu, Saveni, 819321",0720 172 875,24:a5:c5:9b:3f:a8,21.211.88.45,RO35UDKF8810268543215579,2025-04-02 00:53:47,23242,390,247,345187,db8085ea-627c-4aa2-9c5d-02be27b6d698
Amza Tomescu,amzatomescu,amzatomescu@email.ro,1720407328941,1998-01-07,"Intrarea Anișoara Tabacu Nr. 74, Filiasi, 245467",0249 243 669,48:a6:0e:b9:18:67,19.2.250.13,RO85VIOD1814786622299769,2025-04-02 00:53:47,34296,638,239,634780,9feea8be-2b0e-428f-be3f-418b2e11d17e
Ionelia Stancu,ioneliastancu,ioneliastancu@post.ro,7831022231156,2004-12-26,"Intrarea Nemeș, Topoloveni, 832685",0780 100 307,d2:d0:78:4e:05:0b,60.230.210.196,RO55OCLU1730691230580922,2025-04-02 00:53:47,20451,774,748,878414,be5d92e5-7707-45f3-9e1a-c31e550ca585
Mihaela Georgescu,mihaelageorgescu,mihaelageorgescu@acasa.ro,3281024209133,1984-02-14,"Aleea Dochioiu Nr. 120 Bl. 36  Sc. 67 Ap. 487, Remetea, 556467",0261 828 438,4c:f9:3f:fa:3a:34,29.122.252.181,RO60BMZT5104215892393527,2025-04-02 00:53:47,22021,664,493,98935,fa092a8a-2da3-41bc-a71b-ef3ace842307
Denisa Diaconu,denisadiaconu,denisadiaconu@gmail.com,3220908152944,1924-04-27,"Intrarea Ioniță Nr. 23 Bl. 29  Sc. 33 Ap. 390, Iernut, 543761",0247 632 480,dc:03:3e:46:25:87,110.232.111.145,RO94ESRB3495287972455037,2025-04-02 00:53:47,18785,222,57,452273,61c93cf7-aca8-4b87-956e-d799f15d3870
Ilona Oprea,ilonaoprea,ilonaoprea@post.ro,6210115328446,1989-01-31,"Strada Voinea Nr. 80 Bl. 35  Sc. 41 Ap. 846, Calan, 891610",0739 129 894,6e:5d:de:a6:b9:cc,209.97.55.110,RO32MVWY5535017995629694,2025-04-02 00:53:47,27367,201,122,847005,fe17b782-0a37-406b-9ec6-e8ac273cc1f5
Simi Florea,simiflorea,simiflorea@kappa.ro,5301127372685,1984-09-26,"Strada Pop Nr. 51 Bl. 20  Sc. 60 Ap. 603, Titu, 844763",0260 241 957,86:d1:45:3d:55:7b,25.68.123.91,RO12JERS6729406359139448,2025-04-02 00:53:47,22200,318,50,237487,71494af0-86e6-498d-b5c2-9f5269652fe9
Octavian Ionescu,octavianionescu,octavianionescu@gmail.com,2230712410775,2018-05-19,"Intrarea Anemona Dobre Nr. 561 Bl. 34  Sc. 31 Ap. 780, Brad, 596846",0231 639 732,8a:6c:20:3e:0c:6a,153.176.197.23,RO95SSPC7547325976715415,2025-04-02 00:53:47,7534,401,25,1564907,4538fcab-ba0d-4536-89ca-d9f655773ee5
Ionuț Popescu,ionuțpopescu,ionuțpopescu@gmail.com,5190819301047,1958-07-02,"Soseaua Nistor Nr. 73 Bl. 97  Sc. 85 Ap. 219, Gheorgheni, 158390",0265 732 422,6c:66:81:06:2c:6e,110.145.193.27,RO21ZUPH9835202522548219,2025-04-02 00:53:47,15256,637,756,381684,4f3ecf1a-035b-4beb-96af-dc682ee71d42
Visarion Barbu,visarionbarbu,visarionbarbu@acasa.ro,7950605464014,1925-05-06,"Drumul Emanuil Ioniță Nr. 97, Carei, 141404",0742 206 364,c8:74:34:16:92:48,222.185.144.82,RO97YONM8703651683973915,2025-04-02 00:53:47,6081,55,362,1466786,da081234-183f-4ca4-b805-f58ea89d3080
Zenovia Stoica,zenoviastoica,zenoviastoica@acasa.ro,8990628019856,1934-08-13,"Bulevardul Eugen Barbu Nr. 147 Bl. 34  Sc. 74 Ap. 456, Giarmata, 670910",0266 071 910,fa:fe:7d:e7:99:e8,116.213.33.0,RO19HEVP8214282264355070,2025-04-02 00:53:47,31029,360,475,1489237,1c79a294-a148-48e4-9a01-e1e31a273992
Florentin Diaconescu,florentindiaconescu,florentindiaconescu@acasa.ro,1910119178028,1947-01-08,"Bulevardul Julieta Albu Nr. 31, Zimnicea, 425943",0745 250 237,ca:e0:e7:5e:92:10,193.145.71.88,RO80YURT9572478924829978,2025-04-02 00:53:47,30910,791,262,1221165,974053b4-7bec-4e89-8138-ffa10bb8e9e6
Marga Niță,marganiță,marganiță@email.ro,6230109167181,1939-04-06,"Soseaua Niță, Amara, 401442",0234 744 118,6a:98:df:cf:d6:bd,141.215.226.125,RO43BHJD7903492785491083,2025-04-02 00:53:47,32096,898,420,1179054,c6c2c9b2-0dac-459c-bfbd-5da1a53890df
Clarisa Mocanu,clarisamocanu,clarisamocanu@zzup.ro,6560714121304,1960-04-29,"Strada Manole Niță Nr. 79, Buftea, 234514",0237 459 539,3a:5a:ed:8b:52:48,49.98.100.162,RO28POXV2983845650151339,2025-04-02 00:53:47,24836,116,751,1499118,3ebf8ab7-9e2e-4348-8bbd-c2f71c887cb1
Albert Diaconescu,albertdiaconescu,albertdiaconescu@gmail.com,5640417377752,2025-01-02,"Soseaua Eftimie Nr. 334 Bl. 19  Sc. 34 Ap. 867, Odorheiu Secuiesc, 637243",0242 349 911,76:a6:75:cb:8b:9f,112.207.106.131,RO04EZJN2871515961096418,2025-04-02 00:53:47,9019,307,584,1092516,20d23846-8565-441f-8d3f-f6abf7616ecf
Stancu Aanei,stancuaanei,stancuaanei@email.ro,8791028071499,1919-12-11,"Strada Steluța Ababei Nr. 76, Medgidia, 966754",0737 109 338,b4:bc:4c:ab:cc:ff,41.17.215.200,RO25IRER3933433225385023,2025-04-02 00:53:47,29068,806,48,792523,e5817c90-8394-4d20-be4f-52c5748ddb1e
Gina Georgescu,ginageorgescu,ginageorgescu@post.ro,1730902297410,1955-06-28,"Aleea Stoica, Rasinari, 266145",0786 677 918,5a:cd:8c:ee:26:73,19.51.184.251,RO32RFSR4760491019797689,2025-04-02 00:53:47,22031,349,626,1118817,0af27ada-75cb-4228-b881-8d1e2b9ce176
Tiberiu Stan,tiberiustan,tiberiustan@email.ro,3711031361796,1952-06-07,"Soseaua Stănescu Nr. 625 Bl. 45  Sc. 94 Ap. 445, Magurele, 310598",0746 322 957,9a:46:40:be:1d:47,58.23.193.136,RO69AYLX5069336012539359,2025-04-02 00:53:47,1859,537,687,1470831,96f4163a-f7e0-459b-9417-62803bbf3791
Andrei Dobre,andreidobre,andreidobre@post.ro,6110418149016,1930-01-18,"Intrarea Octav Popa Nr. 46 Bl. 36  Sc. 72 Ap. 727, Otelu Rosu, 716429",0769 417 538,b0:60:63:e6:1c:69,144.56.145.0,RO19SMZP4783491939694268,2025-04-02 00:53:47,27438,773,624,1095355,9ebf43a1-c1d4-4cc6-b50c-5471101ca859
Florian Nistor,floriannistor,floriannistor@email.ro,4340201517264,1989-07-25,"Bulevardul Albu, Tasnad, 677774",0722 702 954,6e:96:92:88:3a:7f,138.251.24.250,RO56RTCI9807372337738237,2025-04-02 00:53:47,20644,931,411,707422,a7e35964-3df6-4260-9a2e-3405523ac948
Petrică Ene,petricăene,petricăene@gmail.com,5650711122208,1954-06-22,"Aleea Sabin Georgescu Nr. 85, Focsani, 154804",0260 262 658,c8:4b:a2:72:be:79,167.80.10.235,RO90HSUO5354266633434316,2025-04-02 00:53:47,663,962,389,1700712,206bb158-f31f-4d87-b64e-131d054135ab
Dumitru Barbu,dumitrubarbu,dumitrubarbu@zzup.ro,8690513147400,1985-01-06,"Aleea Popescu Nr. 97, Pucioasa, 460594",0760 143 331,70:a2:4b:da:32:d4,133.133.76.49,RO86RAIS4743914147923027,2025-04-02 00:53:47,278,138,276,31639,b900d4be-ea74-46f7-873c-4d47499c2b1b
Marinela Mazilescu,marinelamazilescu,marinelamazilescu@zzup.ro,6411116517055,1991-02-10,"Drumul Oprea Nr. 904 Bl. 33  Sc. 95 Ap. 691, Borsa, 150204",0244 978 387,3c:ce:03:0a:37:e8,59.31.60.198,RO62ZCIN4881005731998300,2025-04-02 00:53:47,11363,110,732,1069792,c3f6d376-96a9-4af4-8456-606ede4515af
Iosif Dumitrescu,iosifdumitrescu,iosifdumitrescu@acasa.ro,8330729307073,1974-10-05,"Strada Angel Toma Nr. 550, Pantelimon, 740518",0236 109 680,e2:88:4b:60:44:f3,162.175.59.102,RO37PURA1715422522719977,2025-04-02 00:53:47,18850,281,675,1573875,a42cb617-ee19-4b13-b10c-0281a582b0a2
