person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Doina Marin,doinamarin,doinamarin@email.ro,7640518085787,1974-01-30,"Intrarea Pop Nr. 464, 1 Decembrie, 226909",0784 068 116,3b:b8:f7:2d:77:d5,117.163.15.147,RO78KAQW8806972348863254,2025-04-07 23:24:47,34037,241,501,1829828,56ee361b-51d4-451e-996b-17ce4ecca716
Rodica Preda,rodicapreda,rodicapreda@kappa.ro,6960130435787,2012-05-17,"Aleea Simina Florea Nr. 28, Breaza de Sus, 979079",0757 927 925,6d:57:72:17:e7:60,16.166.161.45,RO55VFVI8144818431533080,2025-04-07 23:24:47,24580,586,165,773025,7f46b7b9-0962-4c49-b1ea-fa1f01e850d4
Dina Nemeș,dinanemeș,dinanemeș@gmail.com,8000323442495,1930-11-10,"Drumul Ene Nr. 432, Rodna, 772994",0262 667 209,f2:20:60:b3:ca:56,5.93.150.112,RO49OADO0931194157024838,2025-04-07 23:24:47,22156,270,338,1946347,2ebe0087-8e6b-422d-aeab-75334f1971f6
Octav Florea,octavflorea,octavflorea@gmail.com,2880117355382,1909-10-26,"Drumul Aristide Aanei, Stei, 585432",0245 521 388,06:b7:2d:65:f7:53,170.215.12.205,RO53COUM9703753926323002,2025-04-07 23:24:47,24191,296,347,1634410,28dcebb2-f097-4fe6-87fc-3d14c6866a34
Dalia Aanei,daliaaanei,daliaaanei@kappa.ro,5200527334371,1929-04-22,"Drumul Cristea Nr. 898, Sebis, 183241",0234 194 233,c3:14:99:1b:6c:b7,220.145.234.49,RO26VVOF6109052988716711,2025-04-07 23:24:47,20982,424,516,1575089,d6a10f40-f49f-4a17-a7ad-c48353a34106
Laurenția Pușcașu,laurențiapușcașu,laurențiapușcașu@acasa.ro,5060114191158,1909-04-17,"Strada Suciu Nr. 219 Bl. 24  Sc. 98 Ap. 996, Harlau, 168429",0752 536 445,5d:95:34:b3:8a:19,180.5.121.223,RO02VNKY5636983633525650,2025-04-07 23:24:47,31989,492,198,1739251,8815bdef-8bf5-49ca-813c-4f109b25c5bb
Sânziana Mazilescu,sânzianamazilescu,sânzianamazilescu@post.ro,2230920373988,2001-08-07,"Bulevardul Olivia Eftimie, Zarnesti, 828565",0762 046 943,bd:cf:5c:f1:42:16,73.216.99.165,RO04EHSK6876140032169828,2025-04-07 23:24:47,23792,714,518,110486,70f836b1-65d7-4413-9176-edb77742e7d5
Doriana Oprea,dorianaoprea,dorianaoprea@zzup.ro,5431218339981,1992-08-31,"Intrarea Teona Stănescu, Bosanci, 556107",0756 871 946,d6:15:a6:b9:7d:f0,166.193.113.232,RO25NGWN8094788248535698,2025-04-07 23:24:47,10010,447,761,1615869,aaf77651-ba88-4b32-9674-1429f7cea296
Mina Ioniță,minaioniță,minaioniță@kappa.ro,5540124217068,1960-06-17,"Aleea Niță Nr. 335, Lunca Cetatuii, 428181",0256 906 144,4f:27:88:aa:82:b3,47.197.97.66,RO31WNGQ0302620703475441,2025-04-07 23:24:47,23772,344,186,900860,4ac216d5-2fae-4098-aee4-acbf7bee60e5
Georgiana Suciu,georgianasuciu,georgianasuciu@email.ro,3481127257351,1973-04-06,"Bulevardul Ene Nr. 700 Bl. 15  Sc. 68 Ap. 649, Medias, 791334",0746 632 061,a9:56:1e:83:1a:09,171.46.39.208,RO02IYVF2828248106932552,2025-04-07 23:24:47,12287,991,464,18422,8c3dcbda-8ff9-454a-b140-f7092e61a51d
Ionuț Dinu,ionuțdinu,ionuțdinu@post.ro,1710530388567,2007-11-18,"Strada Tudor, Rosiori de Vede, 952292",0262 754 592,4e:c0:31:17:a9:cb,63.79.210.108,RO46CPYY7877251476372148,2025-04-07 23:24:47,5228,10,620,1540554,a3da0c83-8608-488b-a004-af97b0a64cfd
Consuela Manole,consuelamanole,consuelamanole@acasa.ro,3960904154709,1928-06-07,"Soseaua Popa Nr. 380 Bl. 77  Sc. 70 Ap. 956, Ineu, 136804",0757 254 886,5d:5b:74:9a:6e:44,145.199.249.18,RO72ODJX1497440025455322,2025-04-07 23:24:47,18705,841,507,1411914,c7fac833-46ad-45ad-b02c-65c3037676ba
Daniela Cristea,danielacristea,danielacristea@post.ro,7690804212806,1968-11-17,"Aleea Toma Nr. 31 Bl. 75  Sc. 81 Ap. 828, Cisnadie, 795970",021 457 0172,8a:d9:c9:aa:ed:83,99.250.91.116,RO08PLWL9047462089848954,2025-04-07 23:24:47,22427,77,507,393549,ae089c27-2e35-4183-975d-6d99c61f21f4
Cristofor Preda,cristoforpreda,cristoforpreda@post.ro,6890815269101,1991-11-24,"Bulevardul Pușcașu, Pogoanele, 897262",0253 344 067,2e:b6:33:6e:3f:b2,95.45.171.215,RO26GCWK3053589218957949,2025-04-07 23:24:47,20309,996,777,1390973,666d1bd6-eebc-4572-8d39-c8a3492b3f5c
Zina Nemeș,zinanemeș,zinanemeș@kappa.ro,5030319514985,2007-01-28,"Aleea Gheorghiu, Schela Cladovei, 101539",0755 730 793,24:81:11:09:07:82,221.183.89.135,RO61CSEQ6453786482695958,2025-04-07 23:24:47,26021,723,432,1486585,e89d0ca4-653e-436e-a4da-93dbaada7cef
Liviu Toma,liviutoma,liviutoma@zzup.ro,5431102378666,1978-01-21,"Soseaua Dima, Codlea, 111810",0238 961 233,d0:a2:51:76:5e:37,216.22.239.204,RO04EGEI0949503434708944,2025-04-07 23:24:47,22813,428,519,284376,df3de3f1-c97e-4f41-a6e5-62ada543958d
Iustina Florea,iustinaflorea,iustinaflorea@acasa.ro,1420216137563,1942-06-09,"Intrarea Aanei Nr. 338, Dancu, 791200",0721 043 104,a9:41:ef:ed:e6:7f,156.197.185.241,RO29MTQO9544175029544622,2025-04-07 23:24:47,18077,369,79,1569341,23436609-23bb-492a-a273-d57b2eff1fa9
Izabela Diaconescu,izabeladiaconescu,izabeladiaconescu@post.ro,3470122024625,2023-08-12,"Bulevardul Nemeș, Calafat, 329337",0736 797 924,42:a9:da:1d:dd:8b,104.90.107.217,RO19FQEN4358156541136825,2025-04-07 23:24:47,31479,499,730,732133,5862ebeb-d9b6-4085-937b-fedec2530326
Teofil Mocanu,teofilmocanu,teofilmocanu@acasa.ro,8970823236843,1951-05-14,"Soseaua Narcisa Toma, Buftea, 667204",0254 915 818,12:36:d0:7a:18:ca,53.73.230.215,RO98JOQC2413097507629154,2025-04-07 23:24:47,10963,296,454,1808667,6d137386-0b08-4d13-920c-1cc3c08235ea
George Popa,georgepopa,georgepopa@acasa.ro,5681029177972,2010-01-16,"Intrarea Nistor Nr. 956 Bl. 20  Sc. 52 Ap. 444, Toplita, 699053",0746 517 128,a6:d8:f5:33:4d:cc,184.239.76.97,RO36GXCB1256028711017160,2025-04-07 23:24:47,26451,19,128,575830,06d45644-8308-4117-997b-aacf1e776ea0
Nelu Cristea,nelucristea,nelucristea@gmail.com,5761122193827,1975-02-12,"Aleea Tudor Nr. 175 Bl. 80  Sc. 29 Ap. 583, Brasov, 758144",0737 212 402,95:15:81:0e:90:99,220.108.153.57,RO14PETV2499183179727754,2025-04-07 23:24:47,1927,38,649,659110,db44774c-63a5-4c17-9b08-03b8cf880d04
Albertina Albu,albertinaalbu,albertinaalbu@acasa.ro,2990906357947,1952-02-18,"Aleea Popescu, Alesd, 696371",021 767 5158,12:ba:c8:ca:70:ef,123.24.10.98,RO73HXQU0343770115157453,2025-04-07 23:24:47,12627,975,617,850528,ac8e401c-9347-419a-b2cc-aea317e66477
Petruța Stoica,petruțastoica,petruțastoica@zzup.ro,4190311305511,2003-03-14,"Bulevardul Dora Ardelean, Videle, 390170",0257 616 194,67:af:61:a3:0f:47,27.131.64.251,RO39KZHY1253941002753244,2025-04-07 23:24:47,20939,614,174,1938880,a9e8a900-333d-42c9-bba4-0db0fb10fa0b
Gheorghiță Tabacu,gheorghițătabacu,gheorghițătabacu@email.ro,4420514420920,1918-03-21,"Soseaua Tomescu Nr. 620, Pancota, 166575",0743 983 455,c9:f0:fb:42:3f:ed,198.107.45.245,RO54UHZY3130818534691084,2025-04-07 23:24:47,29817,372,440,641094,fc5cc951-c17b-4093-aac5-f2c9638e1177
Eliana Eftimie,elianaeftimie,elianaeftimie@acasa.ro,7580309219561,2024-03-12,"Intrarea Mocanu Nr. 38, Tulcea, 674981",0242 208 083,cc:94:20:97:30:a6,5.184.112.94,RO86JYAJ0508101827514732,2025-04-07 23:24:47,11028,809,127,937306,3ef3e4f8-ac98-49be-b9d8-aa4d11288302
Xenia Diaconu,xeniadiaconu,xeniadiaconu@kappa.ro,4480228048811,1909-07-18,"Aleea Ababei Nr. 11 Bl. 28  Sc. 66 Ap. 314, Gherla, 289472",0740 634 653,ac:89:0f:ed:e7:31,100.195.34.242,RO75MAMF3003505483733461,2025-04-07 23:24:47,29230,715,96,756886,dd6146e9-2a15-41ef-8d5d-2b4998a3942c
Emanoil Gheorghiu,emanoilgheorghiu,emanoilgheorghiu@kappa.ro,8581027097837,2003-07-15,"Drumul Oprea Nr. 87 Bl. 52  Sc. 47 Ap. 591, Vlahita, 931355",0242 768 341,f4:c8:2a:c8:ce:27,212.109.235.173,RO68RGWG1097665369683196,2025-04-07 23:24:47,19285,82,159,599344,ce51d8ef-43da-4086-a278-371425b0a8d7
Ștefana Popescu,ștefanapopescu,ștefanapopescu@141.ro,7190623524893,1934-02-22,"Strada Silviu Stancu Nr. 719 Bl. 53  Sc. 82 Ap. 934, Sangeorgiu de Mures, 601288",0772 655 086,3f:a2:7c:7a:fd:4b,167.130.165.109,RO38RZXD4583843925489895,2025-04-07 23:24:47,32969,826,551,1518723,b4be906e-06f6-4f99-a728-2099875b17ac
Romulus Popescu,romuluspopescu,romuluspopescu@email.ro,1920602141041,1925-11-16,"Strada Romulus Nemeș Nr. 26, Balan, 232117",0231 504 337,de:52:3c:df:64:03,15.21.12.253,RO15HZZT6567345940673854,2025-04-07 23:24:47,24680,791,75,73564,a0e1876f-cbbc-449c-a00e-573513c23ea2
Steliana Cristea,stelianacristea,stelianacristea@acasa.ro,1590112159616,1919-05-06,"Drumul Cristea, Sighetu Marmatiei, 332457",0724 914 712,09:e6:70:85:66:32,41.140.27.204,RO70OJLR6107221523842227,2025-04-07 23:24:47,35754,473,135,1180877,ea613f2f-c16e-4d15-b15f-b7f490fc580e
Sorina Oprea,sorinaoprea,sorinaoprea@kappa.ro,5140826349418,1977-03-05,"Soseaua Dima, Campina, 186490",0745 750 998,b4:90:ca:67:d2:0d,138.6.96.195,RO19GHEO8122151480975914,2025-04-07 23:24:47,15458,331,544,1980210,b0dd480a-a19c-4098-9173-7449cc8e525b
Teofil Ardelean,teofilardelean,teofilardelean@post.ro,7920624152419,1947-07-08,"Soseaua Claudia Nemeș Nr. 38, Bosanci, 361019",0726 443 470,95:9b:38:27:17:9e,116.5.72.159,RO04OHAV3343761358112368,2025-04-07 23:24:47,15001,411,48,1108613,87e8079f-1a47-478e-98af-2b67bce2177c
Dorli Mocanu,dorlimocanu,dorlimocanu@acasa.ro,2010313197827,1981-03-30,"Strada Diaconescu Nr. 814 Bl. 40  Sc. 72 Ap. 178, Anina, 326577",0243 780 656,d7:7a:f4:64:7f:cf,209.91.36.168,RO20KNKN4229203726574761,2025-04-07 23:24:47,24159,764,93,1915022,7aed341b-4cac-4b95-8c1b-33209f3636e7
Aurică Georgescu,auricăgeorgescu,auricăgeorgescu@zzup.ro,2230501013400,1999-05-11,"Strada Ababei Nr. 65, Turnu Magurele, 879361",0749 917 888,c6:0e:12:d2:85:cd,164.193.84.74,RO62HXGY4899050074454272,2025-04-07 23:24:47,13399,156,756,451690,9b2eaa40-d70e-4850-95aa-21d445fb0d55
Narcisa Nistor,narcisanistor,narcisanistor@kappa.ro,8130127070772,2022-10-25,"Intrarea Lazăr Preda Nr. 475, Sinaia, 867049",0254 333 826,d9:c0:7f:cc:da:3d,128.190.17.95,RO78SFHO2746515062436071,2025-04-07 23:24:47,21767,411,714,321655,56d0e1a8-1bc5-49a4-a3af-b954177f7c35
Timotei Dumitrescu,timoteidumitrescu,timoteidumitrescu@post.ro,6950605089608,1945-01-05,"Bulevardul Mocanu Nr. 496, Oituz, 786530",0245 965 386,5b:8c:5c:b0:13:77,155.38.121.57,RO61BMDZ5159350376142309,2025-04-07 23:24:47,9259,294,599,971305,dce2b90f-5dfe-4d3f-8a11-f31bc3e9aaa4
Delia Mazilescu,deliamazilescu,deliamazilescu@141.ro,8850817195544,1956-01-15,"Strada Mocanu Nr. 248 Bl. 39  Sc. 17 Ap. 296, Sebes, 490090",0255 303 816,bc:36:10:70:46:de,95.109.87.247,RO35KMYK8854029715428589,2025-04-07 23:24:47,706,218,695,1802576,33493bd9-4017-4e03-9536-5ca7ba9a29c4
Traian Oprea,traianoprea,traianoprea@kappa.ro,1560721419020,1967-07-06,"Bulevardul Lavinia Stan, Borcea, 126439",0255 941 076,29:74:84:b6:d1:ad,183.132.159.149,RO22VZPY0019301693909516,2025-04-07 23:24:47,1528,413,374,522790,33b6f33e-9061-4a78-bd21-4312fdd997b6
Felicia Albu,feliciaalbu,feliciaalbu@acasa.ro,6940531416080,1930-02-05,"Intrarea Aanei Nr. 18, Bolintin-Vale, 673801",0248 043 004,ea:a2:34:48:59:e8,108.172.230.215,RO81BNHB4430055125111875,2025-04-07 23:24:47,31658,24,473,553036,02bfc7d4-2d65-43d0-9f30-1d7fafc3dc97
Laurenția Niță,laurențianiță,laurențianiță@post.ro,3810206358214,1925-09-11,"Strada Antonia Dochioiu Nr. 92, Ruscova, 673828",0742 030 074,3f:5b:b4:be:a0:c7,197.132.31.12,RO81LUAE1729020960265792,2025-04-07 23:24:47,34567,487,271,1359959,fcbafbff-0c49-4dae-8920-c2b5c98158e0
Crin Manole,crinmanole,crinmanole@gmail.com,4790709371862,2018-02-17,"Intrarea Ortansa Pușcașu Nr. 85 Bl. 49  Sc. 32 Ap. 478, Vaslui, 419682",0768 765 588,d6:42:28:05:ee:74,131.130.161.47,RO71SQOL1234364709263676,2025-04-07 23:24:47,22080,840,113,1916849,ba0e382a-9742-4037-ae74-419e6606b90e
Adonis Oprea,adonisoprea,adonisoprea@email.ro,1030126111933,1934-11-22,"Soseaua Tudor, Vaslui, 224141",0761 758 728,11:ed:88:55:ae:81,49.217.177.251,RO23NBYE8039090730956474,2025-04-07 23:24:47,9330,76,404,861606,10af1edc-712c-428d-a478-770c89466225
Agripina Nistor,agripinanistor,agripinanistor@email.ro,1000221236697,1972-08-01,"Bulevardul Dobre, Rodna, 554441",0721 614 508,ea:68:ff:4c:29:38,130.251.229.22,RO75DBZD8085026661185283,2025-04-07 23:24:47,35996,733,784,1267694,ae2630a8-8976-45ac-9279-d16c93f4af98
Semenica Tomescu,semenicatomescu,semenicatomescu@email.ro,7310215454850,1968-08-24,"Strada Anastasia Eftimie Nr. 64, Urlati, 771336",0763 839 556,88:7d:57:53:41:33,114.40.6.173,RO96XYHK4871007176574839,2025-04-07 23:24:47,29842,810,770,1633406,e3f30b9d-1de0-41d0-95f0-25c5c7f81c3f
Ghenadie Toma,ghenadietoma,ghenadietoma@gmail.com,7241118182891,1931-02-23,"Bulevardul Barbu Nr. 58, Arbore, 259246",0262 002 721,ad:8a:dc:55:77:ec,153.236.177.35,RO80YAYR9922169705392776,2025-04-07 23:24:47,12004,149,781,107468,ea3c393f-1a48-44fb-bc29-9fc167402545
Floare Mazilescu,floaremazilescu,floaremazilescu@email.ro,5500914071396,1983-05-25,"Intrarea Popa Nr. 364, Mioveni, 687463",0746 730 213,4f:b9:ab:82:7b:85,74.247.36.60,RO22XFWJ8332183051301395,2025-04-07 23:24:47,33643,747,771,757160,17598a7d-d37b-453d-b80c-af507655b5f7
Eufrosina Barbu,eufrosinabarbu,eufrosinabarbu@zzup.ro,5650115183907,1956-04-02,"Soseaua Nistor, Homocea, 796650",0266 009 544,9f:6d:50:09:c0:05,117.19.135.177,RO68EIWL5290957919147937,2025-04-07 23:24:47,13840,8,54,784689,b801fb21-039a-4aac-82d7-7d72013f04d6
Adam Suciu,adamsuciu,adamsuciu@kappa.ro,2011007369532,2000-07-06,"Bulevardul Georgescu, Mangalia, 576401",0257 218 540,e7:41:b3:46:7c:41,150.32.139.212,RO78UETO2175339656906803,2025-04-07 23:24:47,3012,153,389,1370437,7cd0d9d8-6aa8-4977-8e4a-2ec70bd72094
Gelu Georgescu,gelugeorgescu,gelugeorgescu@gmail.com,2751123322654,1966-04-26,"Intrarea Ardelean Nr. 76, Techirghiol, 999654",0723 386 043,ef:74:1a:71:89:17,100.35.62.205,RO73JYYD2293240896565191,2025-04-07 23:24:47,33958,695,624,1849985,5c0081d9-9a00-44b9-a50e-68b1cfd3ad44
Melania Mazilescu,melaniamazilescu,melaniamazilescu@post.ro,8670828242223,1925-06-06,"Aleea Tudor Nr. 29, Greci, 239898",0724 852 275,ff:34:93:b8:99:95,131.233.243.79,RO22SDDU9430439814241071,2025-04-07 23:24:47,21831,664,666,732993,433df921-2cce-48ed-bfe8-f4a0b813dcf6
Floare Suciu,floaresuciu,floaresuciu@kappa.ro,2431109356530,1975-07-11,"Intrarea Diaconu, Borsa, 187519",0234 654 956,a5:fd:8d:69:ec:4f,138.207.242.38,RO54YGBT5023187088781826,2025-04-07 23:24:47,32358,525,515,1789961,3bfd25e2-f90c-4cd1-ae26-211201936193
Marian Tomescu,mariantomescu,mariantomescu@email.ro,3741018211544,1955-12-24,"Soseaua Ioniță Nr. 46, Slobozia, 239141",0240 550 762,99:e9:87:e0:00:4b,193.4.158.169,RO18VWUL0756388074491119,2025-04-07 23:24:47,4055,863,752,1789401,d749de50-5b32-42a2-85e3-bde80dc4ae30
Antonela Voinea,antonelavoinea,antonelavoinea@zzup.ro,5730128324879,1971-07-14,"Bulevardul Stoica Nr. 45, Floresti, 234939",0730 611 240,b3:dd:85:70:93:2b,189.234.212.34,RO78FLMZ7661703487144927,2025-04-07 23:24:47,17081,103,795,31625,e55b1883-5e6b-4fe7-a435-e60d2a012778
Smaranda Niță,smarandaniță,smarandaniță@zzup.ro,5760207174741,1924-07-01,"Soseaua Dochioiu, Corund, 893912",0263 408 254,a8:70:b9:8e:8a:cf,123.232.90.181,RO25EGLB7451904777199556,2025-04-07 23:24:47,25249,209,263,331506,229d6cf3-452d-4f33-97f1-a265e6db7c28
Pompilia Stancu,pompiliastancu,pompiliastancu@post.ro,4591206141134,1958-04-15,"Strada Nemeș Nr. 613 Bl. 22  Sc. 38 Ap. 940, Paunesti, 783782",0736 124 938,88:f6:50:be:ca:e6,217.223.85.42,RO37WLTY7303167717783947,2025-04-07 23:24:47,11076,609,117,238751,62249336-99d3-4665-9953-94cd6f11faac
Simina Stancu,siminastancu,siminastancu@zzup.ro,3320208277724,1920-04-15,"Drumul Marin Nr. 34 Bl. 64  Sc. 56 Ap. 898, Arad, 545985",0233 857 407,a2:b8:d7:ab:c0:ea,51.242.185.192,RO56CLWO8788472952508126,2025-04-07 23:24:47,17528,278,375,678828,dc6a34fc-04b1-4e30-97e9-99b5c256b6b0
Viorica Georgescu,vioricageorgescu,vioricageorgescu@acasa.ro,3570523335509,1978-08-19,"Aleea Ababei, Valenii de Munte, 692590",0754 743 479,76:d8:b7:94:71:6d,39.205.119.27,RO64JNVQ7313798374145518,2025-04-07 23:24:47,4542,30,474,1761731,fe887b4e-abda-4f6a-a1db-d77272a64740
Giorgian Cristea,giorgiancristea,giorgiancristea@acasa.ro,5050614458833,2020-07-29,"Intrarea Stan Nr. 75 Bl. 64  Sc. 49 Ap. 664, Dragu-Brad, 296667",0238 739 548,99:7c:0c:bd:ce:4a,14.246.61.111,RO87PKNI2894730027797761,2025-04-07 23:24:47,8908,267,322,329702,69c66ecf-22b5-4a9f-b69f-33ea4fd2e89b
